mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
0.32820101368707216,6.959133724683808e-4,0.03139666994280394,0.2747869464772056,0.30582412210240195,0.3254804196048525,0.3463011024891921,0.3990412173891785,2035.4329996896713,1.000287159008006
0.19719422751700222,0.0017322801780322475,0.06688319855409179,0.08118937373212992,0.14883379681821246,0.19353230602595028,0.24052703327420688,0.33770869906436857,1490.7258984543332,1.0014005063068327
0.028007641758608873,4.74079554297989e-4,0.025221181001969243,8.082857676438045e-4,0.008915877467605473,0.02081951030512991,0.04048940936743063,0.09330782904702735,2830.2733765574844,0.9995952573889727
0.9059874231220955,0.0016730649753994014,0.0859505917524936,0.6762823455583,0.8637719585912376,0.9308265848264238,0.9718073255720208,0.9975844523634457,2639.1989326373614,0.9995544822443624
0.35190923655275713,0.0012601955086193014,0.06990700613471358,0.23113807895225857,0.3026316113527684,0.34539808479985407,0.3968891860861215,0.5001113778393024,3077.269636303358,1.0005847959987748
0.8597195262897878,8.164600308140287e-4,0.05028748160513321,0.7466732320144559,0.829311705567684,0.8647380637912452,0.8954394768800459,0.9441664899175383,3793.58583811243,1.0000124155740213
0.3679111573883971,0.0027244843995244033,0.09787891881689903,0.22734835984784416,0.30219209865050667,0.35013286662439314,0.4159480316346854,0.6079086644933825,1290.6535370760625,1.0019385932124603
0.05090066536590916,0.0012694724731989048,0.053525668352670135,0.0014603782269332916,0.014062997844409167,0.03289793331392922,0.0693943356177822,0.2016435784488236,1777.7783838187447,1.0019384359287697
0.7263969600932967,0.004813859907484246,0.16491849956187055,0.3889645556433231,0.603533476510083,0.7365665280322853,0.8639006228691821,0.983294680407545,1173.685813324919,1.0015973992198217
0.26753955944767266,0.0016771881724411512,0.08367856652112891,0.11814118135303366,0.20725827943508135,0.2629293087629739,0.32230103970860624,0.44187111496084563,2489.2291686960803,1.0010650210769523
3.735160947765246,0.00554157966613498,0.2966117264472748,3.2060802796061485,3.5297303833972995,3.7196950148219976,3.924030643197534,4.3514768834069235,2864.90002571442,0.9997731826937027
