rowname,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
beta,0.29953894643986523,7.336109499873864e-4,0.02989239128782733,0.25061690815540383,0.27825882854206163,0.296754554170732,0.31802436615746854,0.36572653850706616,1660.3120002113862,0.9998179175842475
theta1,0.19080314454737687,0.0015889431247137248,0.06943391101461216,0.07360227577220034,0.1401598976825496,0.18506834768781935,0.23539527585782383,0.3401594865574734,1909.530294040537,0.9995353619304457
theta2,0.035288058475295675,7.036478309753259e-4,0.034593384546703965,8.330835730672498e-4,0.010299976318036062,0.024889368964520868,0.04860426705331063,0.12894416810342707,2416.993055663922,0.9995409429917417
theta3,0.8707970889869566,0.0026108842716910225,0.11600390889776444,0.5689757494924677,0.8152322681667982,0.9036525733415535,0.960712611447915,0.995340823532148,1974.103884751441,1.0001475975690213
p1,0.32043193532476366,0.001220373366590121,0.06520803021733866,0.20996686951979301,0.27436466748540034,0.31465228889646313,0.36149295945860954,0.462076938017701,2855.069737267815,0.9995509182859887
p2,0.8586031639972306,7.778670815117046e-4,0.05085144083001505,0.746528171511469,0.82749808694379,0.8617480204312737,0.8959202537343471,0.9445447816274483,4273.618390261878,0.999765386736966
kappa,0.4231804020561038,0.005074167918440088,0.13715207364063503,0.24708655412455557,0.3302608450718817,0.39044851948379355,0.47731387369326417,0.8044796931150602,730.5922923125377,1.0002846909057392
sigmaE_1,0.06962431558657667,0.0025032279711703137,0.07428765755229831,0.0018783157345234676,0.017897386022027825,0.04432568805802958,0.09387124235601108,0.28028709079094627,880.7091789760136,1.00105999860786
sigmaE_2,0.6289745397029953,0.00433395043381139,0.17199044460981583,0.33395504296141143,0.49090709162727036,0.6165134648791979,0.760190457141249,0.9558408593948584,1574.8556691696865,0.9995576300944705
S0,0.4298073865040666,0.0023194797779731617,0.11001045231331226,0.21611889723880695,0.35500561956543975,0.4282586016190547,0.5048711855044786,0.6430297791616272,2249.503739868218,1.0000595639888927
R0,3.4757475709245034,0.005557189708800309,0.2804657588075908,2.9590599574842256,3.280595963563578,3.4642651418286654,3.6588521731604557,4.046399243802013,2547.1190781478167,0.9996051956178762
